HỆ THỐNG DỮ LIỆU LỘ TRÌNH CHI TIẾT & TỪ KHÓA ĐIỂM MỐC (SEARCH ENGINE & AUTOCOMPLETE INDEX),,,,,
"Cơ sở dữ liệu hỗ trợ công cụ tìm kiếm tự do điểm A - B theo tên đường, trường đại học, bệnh viện, ga metro, bến xe, chợ và trung tâm thương mại.",,,,,
route_id,direction_type,origin,destination,path_streets,key_landmarks
01,Lượt đi,Ga Ba Son,Bến xe buýt Chợ Lớn,Ga Ba Son - Tôn Đức Thắng - Nguyễn Siêu - Hai Bà Trưng - Hàm Nghi - Trần Hưng Đạo - Nguyễn Tri Phương - Châu Văn Liêm - Trang Tử - Bến xe Chợ Lớn (Bến A),"Ga Metro Ba Son, Chợ Bến Thành, Bệnh viện Răng Hàm Mặt, Chợ An Đông, Chợ Kim Biên, Bến xe Chợ Lớn"
01,Lượt về,Bến xe buýt Chợ Lớn,Ga Ba Son,Bến xe Chợ Lớn (Bến A) - Trang Tử - Châu Văn Liêm - Nguyễn Tri Phương - Trần Hưng Đạo - Hàm Nghi - Hồ Tùng Mậu - Tôn Đức Thắng - Ga Ba Son,"Bến xe Chợ Lớn, Chợ Lớn Bến A, Bệnh viện Chấn thương Chỉnh hình, Ga Bến Thành, Ga Metro Ba Son"
03,Lượt đi,Bến Thành,Thạnh Xuân,Bến xe buýt Sài Gòn - Phạm Ngũ Lão - Pasteur - Hai Bà Trưng - Phan Đình Phùng - Nguyễn Kiệm - Nguyễn Oanh - Hà Huy Giáp - Bến Thạnh Xuân 52,"Bến Thành, Bến xe Sài Gòn, Công viên 23/9, Chợ Tân Định, Ngã 6 Gò Vấp, Cầu An Lộc, Thạnh Xuân 52"
03,Lượt về,Thạnh Xuân,Bến Thành,Bến Thạnh Xuân 52 - Hà Huy Giáp - Nguyễn Oanh - Nguyễn Kiệm - Phan Đình Phùng - Hai Bà Trưng - Trần Hưng Đạo - Phạm Ngũ Lão - Bến xe buýt Sài Gòn,"Thạnh Xuân 52, Cầu An Lộc, Ngã 6 Gò Vấp, Chợ Tân Định, Bến xe Sài Gòn, Chợ Bến Thành"
04,Lượt đi,Bến Thành,Bến xe An Sương,Bến xe Sài Gòn - Phạm Ngũ Lão - Hàm Nghi - Pasteur - Võ Thị Sáu - Nam Kỳ Khởi Nghĩa - Nguyễn Văn Trỗi - Cộng Hòa - Trường Chinh - Quốc lộ 22 - BX An Sương,"Bến Thành, Bệnh viện Mắt TP.HCM, Cầu Công Lý, Lotte Mart Tân Bình, Pandora City, Ngã tư An Sương, Bến xe An Sương"
04,Lượt về,Bến xe An Sương,Bến Thành,Bến xe An Sương - Quốc lộ 22 - Trường Chinh - Cộng Hòa - Hoàng Văn Thụ - Nguyễn Văn Trỗi - Nam Kỳ Khởi Nghĩa - Lê Lợi - Bến xe Sài Gòn,"Bến xe An Sương, Ngã tư An Sương, Pico Plaza Cộng Hòa, Công viên Hoàng Văn Thụ, Dinh Độc Lập, Bến Thành"
SWB1,Lượt đi,Bến thủy Bạch Đằng,Linh Đông,Bến Bạch Đằng - Sông Sài Gòn - Bến Sài Gòn Pearl - Bến Bình An - Bến Thảo Điền - Bến Tầm Vu - Bến Thanh Đa - Bến Bình Triệu - Bến Hiệp Bình Chánh - Bến Linh Đông,"Bến thủy Bạch Đằng, Vinhomes Central Park, Landmark 81, Masteri Thảo Điền, Cư xá Thanh Đa, ĐH Luật TP.HCM, Kha Vạn Cân"
SWB1,Lượt về,Linh Đông,Bến thủy Bạch Đằng,Bến Linh Đông - Bến Hiệp Bình Chánh - Bến Bình Triệu - Bến Thanh Đa - Bến Tầm Vu - Bến Thảo Điền - Bến Bình An - Bến Sài Gòn Pearl - Bến Bạch Đằng,"Bến Linh Đông, Bến Bình Quới, Bến Thanh Đa, Bến Thảo Điền, Bến Bạch Đằng, Phố đi bộ Nguyễn Huệ"
MRT1,Lượt đi,Ga Bến Thành,Ga Suối Tiên,Ga Bến Thành ngầm - Ga Nhà hát Thành phố - Ga Ba Son - Ga Văn Thánh - Ga Tân Cảng - Ga Thảo Điền - Ga An Phú - Ga Rạch Chiếc - Ga Phước Long - Ga Bình Thái - Ga Thủ Đức - Ga KCNC - Ga ĐH Quốc Gia - Ga Suối Tiên,"Ga Bến Thành, Nhà hát TP, Ga Ba Son, Landmark 81 Tân Cảng, Vincom Mega Mall Thảo Điền, Khu Công nghệ cao TP.HCM, ĐH Quốc Gia, Suối Tiên"
MRT1,Lượt về,Ga Suối Tiên,Ga Bến Thành,Ga Suối Tiên - Ga ĐH Quốc Gia - Ga KCNC - Ga Thủ Đức - Ga Bình Thái - Ga Phước Long - Ga Rạch Chiếc - Ga An Phú - Ga Thảo Điền - Ga Tân Cảng - Ga Văn Thánh - Ga Ba Son - Ga Nhà hát TP - Ga Bến Thành,"Bến xe Miền Đông mới, KDL Suối Tiên, Làng ĐH Quốc Gia, Vincom Thủ Đức, Masteri Thảo Điền, Pearl Plaza Văn Thánh, Chợ Bến Thành"
HS-07,Hai chiều,Đường Rừng Sác,Trường THPT Bình Khánh,Đường Rừng Sác Cần Giờ - Đường Lương Văn Nho - Trường THCS Bình Khánh - Trường THPT Bình Khánh,"Đường Rừng Sác, Phà Bình Khánh, Trường THCS Bình Khánh, Trường THPT Bình Khánh Cần Giờ"
