HỆ THỐNG DỮ LIỆU MẠNG LƯỚI XE BUS & METRO TP.HỒ CHÍ MINH - MASTER DATA (CLOUD WEB APP),,,,,,,,,,,,,,
KPI MẠNG LƯỚI,TỔNG SỐ TUYẾN,,TUYẾN CÓ TRỢ GIÁ,,CỰ LY BÌNH QUÂN,,TỔNG LƯỢT CHUYẾN/NGÀY,,GIÁ VÉ PHỔ THÔNG TB,,GIÁ VÉ HSSV TB,,THỜI GIAN CHUYẾN TB,
CẬP NHẬT 2026,74,,67,,"19,7 km",,10.650 chuyến,,8.095 ₫,,5.338 ₫,,"57,9 phút",
route_id,route_name,operator_name,operator_phone,operation_type,is_subsidized,distance_km,capacity_seats,start_time,end_time,fare_regular_vnd,fare_student_vnd,trips_per_day,trip_duration_min,headway_min
01,Ga Ba Son - Bến xe buýt Chợ Lớn,Cty Phương Trang FutaBusLines,1900638494,Phổ thông,TRUE,"9,62",40,05:00,22:00,5.000 ₫,3.000 ₫,216,"40,0","14,0"
03,Bến Thành - Thạnh Xuân,Cty Phương Trang FutaBusLines,1900638494,Phổ thông,TRUE,"20,60",60,04:00,21:00,6.000 ₫,3.000 ₫,260,"62,5","10,0"
04,Bến Thành - Cộng Hòa - Bến xe An Sương,Cty Phương Trang,1900638494,Phổ thông,TRUE,"16,42",30,05:00,22:00,6.000 ₫,3.000 ₫,212,"70,0","14,0"
SWB1,Bạch Đằng - Linh Đông,Cty TNHH Thường Nhật,1900636830,Du lịch,FALSE,"10,80",75,07:10,18:20,15.000 ₫,15.000 ₫,12,"47,0","55,0"
MRT1,Bến Thành - Suối Tiên,Cty TNHH MTV Đường sắt đô thị số 1,1900638494,Phổ thông,TRUE,"18,82",930,05:00,22:00,6.000 ₫,3.000 ₫,228,"29,0","15,0"
HS-07,Đường Rừng Sác - Trường THPT Bình Khánh,HTX Tân Tiến,18001557,Học sinh,TRUE,"2,60",29,06:15,16:39,0 ₫,0 ₫,61,"65,0","1,0"
HS-06,Bà Xán - Trường THPT Bình Khánh,HTX Tân Tiến,18001557,Học sinh,TRUE,"7,10",29,06:00,17:11,0 ₫,0 ₫,8,"11,0","10,0"
05,Bến xe buýt Chợ Lớn - Bến xe Biên Hòa,HTX Quyết Thắng & Cty Vĩnh Phú,028-38642712,Phổ thông,FALSE,"38,00",40,04:50,17:50,25.000 ₫,25.000 ₫,56,"100,0","35,0"
06,Bến xe buýt Chợ Lớn - Đại học Nông Lâm,Cty Xe khách Sài Gòn,028-39505505,Phổ thông,TRUE,"26,50",72,04:55,21:00,7.000 ₫,3.000 ₫,156,"70,0","11,5"
07,Bến xe buýt Chợ Lớn - Gò Vấp,Cty Phương Trang,1900638494,Phổ thông,TRUE,"15,50",55,04:00,20:00,6.000 ₫,3.000 ₫,134,"65,0","15,0"
08,Bến xe buýt Quận 8 - Đại học Quốc gia,Cty Phương Trang,1900638494,Phổ thông,TRUE,"32,70",80,04:30,22:00,7.000 ₫,3.000 ₫,336,"105,0","9,5"
09,Bến xe buýt Chợ Lớn - Bình Chánh - Hưng Long,Cty Phương Trang,1900638494,Phổ thông,TRUE,"25,00",60,03:45,19:30,7.000 ₫,3.000 ₫,170,"70,0","11,5"
10,Đại học Quốc Gia - Bến xe Miền Tây,Cty Xe khách Sài Gòn,028-39505505,Phổ thông,TRUE,"30,85",60,04:45,21:00,7.000 ₫,3.000 ₫,102,"85,0","20,0"
100,Bến xe Củ Chi - Cầu Tân Thái,Cty Phương Trang,1900638494,Phổ thông,TRUE,"16,50",55,04:45,21:00,6.000 ₫,3.000 ₫,136,"35,0","14,0"
101,Bến xe buýt Chợ Lớn - Chợ Tân Nhựt,Cty Phương Trang,1900638494,Phổ thông,TRUE,"19,85",30,05:00,20:30,6.000 ₫,3.000 ₫,134,"55,0","15,0"
102,Bến xe buýt Sài Gòn - Nguyễn Văn Linh - Bến xe Miền Tây,Cty Phương Trang,1900638494,Phổ thông,TRUE,"32,72",60,04:30,19:00,7.000 ₫,3.000 ₫,116,"80,0","16,0"
103,Bến xe buýt Chợ Lớn - Bến xe Ngã tư Ga,Cty Phương Trang,1900638494,Phổ thông,TRUE,"24,90",30,05:00,20:30,6.000 ₫,3.000 ₫,142,"85,0","12,5"
104,Bến xe An Sương - Bến xe buýt Văn Thánh,Cty Phương Trang,1900638494,Phổ thông,TRUE,"16,10",60,04:30,22:00,6.000 ₫,3.000 ₫,210,"45,0","13,0"
107,Bến xe Củ Chi - Bố Heo,Cty Phương Trang,1900638494,Phổ thông,TRUE,"15,60",55,04:45,20:00,6.000 ₫,3.000 ₫,84,"30,0","22,5"
109,Bến xe buýt Sài Gòn - Sân bay Tân Sơn Nhất,Cty Phương Trang,1900638494,Phổ thông,FALSE,"9,30",30,05:30,22:15,15.000 ₫,15.000 ₫,48,"45,0","42,5"
110,Hiệp Phước - Phước Lộc,Cty Phương Trang,1900638494,Phổ thông,TRUE,"26,30",40,04:45,20:00,7.000 ₫,3.000 ₫,134,"65,0","13,5"
122,Bến xe An Sương - Tân Quy,HTX 19/5,18001557,Phổ thông,TRUE,"19,80",60,04:45,19:30,6.000 ₫,3.000 ₫,250,"50,0","9,0"
126,Bến xe Củ Chi - Bình Mỹ,Cty Phương Trang,1900638494,Phổ thông,TRUE,"19,40",30,04:45,20:00,6.000 ₫,3.000 ₫,180,"40,0","11,5"
127,An Thới Đông - Ngã ba Bà Xán,Cty Vinbus,1900866663,Phổ thông,TRUE,"18,00",30,05:00,20:00,6.000 ₫,3.000 ₫,120,"40,0","19,0"
128,Tân Điền - An Nghĩa,Cty Phương Trang,1900638494,Phổ thông,TRUE,"24,90",30,05:00,20:00,6.000 ₫,3.000 ₫,82,"50,0","29,0"
13,Bến xe buýt Sài Gòn - Bến xe Củ Chi,HTX Quyết Tiến & HTX 19/5,18001557,Phổ thông,FALSE,"36,00",45,04:00,19:45,23.000 ₫,10.000 ₫,90,"80,0","19,5"
139,Bến xe Miền Tây - Khu Tái Định Cư Phú Mỹ,Cty Phương Trang,1900638494,Phổ thông,TRUE,"22,00",40,04:45,22:00,6.000 ₫,3.000 ₫,148,"70,0","15,0"
14,Bến xe Miền Đông - Bến xe Miền Tây,Cty Phương Trang,1900638494,Phổ thông,TRUE,"16,40",55,04:00,20:30,6.000 ₫,3.000 ₫,210,"60,0","9,0"
140,Bến xe buýt Sài Gòn - Phạm Thế Hiển - Khu dân cư Phú Lợi,Cty Vinbus,1900866663,Phổ thông,TRUE,"21,40",30,05:00,21:00,6.000 ₫,3.000 ₫,130,"70,0","16,0"
141,Khu du lịch BCR - Long Trường - KCX Linh Trung II,Cty Phương Trang,1900638494,Phổ thông,TRUE,"21,80",60,05:00,19:30,6.000 ₫,3.000 ₫,198,"65,0","11,0"
145,Bến xe buýt Chợ Lớn - Chợ Hiệp Thành,Cty Phương Trang,1900638494,Phổ thông,TRUE,"23,00",60,04:30,20:30,6.000 ₫,3.000 ₫,134,"70,0","13,5"
146,Bến xe Miền Đông - Chợ Hiệp Thành,Cty Phương Trang,1900638494,Phổ thông,TRUE,"19,00",30,04:45,20:30,6.000 ₫,3.000 ₫,142,"65,0","12,5"
148,Bến xe Miền Tây - Gò Vấp,Cty Vinbus,1900866663,Phổ thông,TRUE,"16,70",30,04:45,21:00,6.000 ₫,3.000 ₫,154,"60,0","15,0"
15,Chợ Phú Định - Đầm Sen,Cty Phương Trang,1900638494,Phổ thông,TRUE,"17,10",30,04:45,21:00,6.000 ₫,3.000 ₫,140,"50,0","14,0"
150,Bến xe buýt Chợ Lớn - Bến xe Miền Đông mới,Cty Vinbus,1900866663,Phổ thông,TRUE,"26,60",60,04:00,22:00,7.000 ₫,3.000 ₫,180,"75,0","12,5"
151,Bến xe Miền Tây - Bến xe An Sương,Cty Phương Trang,1900638494,Phổ thông,TRUE,"17,20",60,04:00,20:00,6.000 ₫,3.000 ₫,216,"50,0","11,0"
152,KDC Trung Sơn - Bến Thành - Sân bay Tân Sơn Nhất,Cty Phương Trang,1900638494,Phổ thông,TRUE,"14,55",30,05:00,22:00,5.000 ₫,3.000 ₫,144,"55,0","16,0"
153,Bến tàu thủy Bình An - Đường Liên Phường,Cty Phương Trang,1900638494,Phổ thông,TRUE,"16,70",30,05:00,22:30,6.000 ₫,3.000 ₫,158,"55,0","19,0"
154,ĐH Quản lý & Công nghệ (UMT) - Masteri An Phú,Cty Phương Trang,1900638494,Phổ thông,TRUE,"16,85",30,05:05,22:10,6.000 ₫,3.000 ₫,158,"55,0","15,0"
155,Ga Bến Thành - Bến Vân Đồn - Ga Nhà hát TP,Cty Phương Trang,1900638494,Phổ thông,TRUE,"6,40",30,05:00,22:00,5.000 ₫,3.000 ₫,57,"30,0","22,5"
156D/V,Ga Bến Thành - Ga Hòa Hưng - Bệnh viện Mắt TP.HCM,Cty Phương Trang,1900638494,Phổ thông,TRUE,"7,35",30,05:00,22:05,5.000 ₫,3.000 ₫,57,"30,0","17,5"
157,Bến xe buýt Văn Thánh - KDC Thạnh Mỹ Lợi,Cty Phương Trang,1900638494,Phổ thông,TRUE,"15,50",30,05:00,22:05,6.000 ₫,3.000 ₫,158,"55,0","12,5"
158,Bến xe buýt Văn Thánh - Cư xá Thanh Đa,Cty Phương Trang,1900638494,Phổ thông,TRUE,"9,80",30,05:00,22:00,5.000 ₫,3.000 ₫,79,"27,5","12,5"
159,Ga Văn Thánh - Điện Biên Phủ - Ga Tân Cảng,Cty Phương Trang,1900638494,Phổ thông,TRUE,"7,00",30,05:00,22:00,5.000 ₫,3.000 ₫,79,"20,0","20,0"
